Temperature,irradiation,Tc,eff,PowerS,wind speed,V(t),PowerW,PowerNuc,Flow_m3ps,PowerH,P_el
38.85,821.867,64.5,0.137713273,565.9099726,2.277,1.93,451.2709144,10000000,5.5,917235,61100000
39.62,927.6,68.6,0.134967964,625.9814165,2.44,2.07,500,10000000,5.5,917235,65504000
40.07,904.033,68.3,0.135160997,610.950006,2.577,2.19,500,10000000,5.5,917235,61524000
40.25,888.9,68,0.135356143,601.5903793,2.69,2.29,500,10000000,5.5,917235,69144000
40.12,774.6,64.3,0.137850596,533.8953596,2.707,2.3,500,10000000,5.5,917235,64572000
39.64,605.633,58.6,0.141732033,429.1879827,2.593,2.2,500,10000000,5.5,917235,61496000
38.71,391.7,51,0.146863561,287.6322834,2.47,2.1,500,10000000,5.5,917235,69476000
36.79,208.167,43.3,0.152022041,158.2298613,2.237,1.9,427.1819947,10000000,5.5,917235,69452000
34.24,64.7,36.3,0.156759131,50.71157882,1.54,1.31,130.0883425,10000000,5.5,917235,68156000
32.49,0,32.5,0.159302976,0,0.977,0.83,22.84753859,10000000,5.5,917235,69200000
31.39,0,31.4,0.160041971,0,0.983,0.84,23.6045963,10000000,5.5,917235,64520000
30.3,0,30.3,0.160778675,0,1.183,1.01,51.43937629,10000000,5.5,917235,65912000
29.3,0,29.3,0.161450286,0,1.327,1.13,78.1655363,10000000,5.5,917235,60692000
28.46,0,28.5,0.162016307,0,1.307,1.11,74.06536428,10000000,5.5,917235,64448000
28.08,0,28.1,0.162274184,0,1.303,1.11,73.39273219,10000000,5.5,917235,61752000
27.7,0,27.7,0.162528489,0,1.09032,0.93,37.21710641,10000000,5.5,917235,67616000
27.42,0,27.4,0.162721947,0,1.05161,0.89,31.96624134,10000000,5.45,908896.5,59756000
27.15,0,27.1,0.162902333,0,1.07419,0.91,34.98296088,10000000,5.45,908896.5,64660000
27.02,0,27,0.162989258,0,1.07419,0.91,34.98296088,10000000,5.45,908896.5,65820000
28.02,6.96774,28.2,0.162168701,5.649746706,1.07419,0.91,34.98296088,10000000,5.45,908896.5,68776000
29.93,85.3871,32.6,0.159228418,67.9802643,1.05806,0.9,32.81491355,10000000,5.45,908896.5,69440000
32,228.387,39.1,0.154826088,176.8013285,1.28065,1.09,68.91578102,10000000,5.45,908896.5,66944000
33.6,401.355,46.1,0.150101393,301.219722,1.64194,1.4,160.6113286,10000000,5.45,908896.5,66712000
34.71,514.903,50.8,0.146966931,378.3685686,1.77419,1.51,206.2603244,10000000,5.45,908896.5,61996000
35.53,591.129,54,0.144805361,427.9932414,1.78387,1.52,209.883195,10000000,5.45,908896.5,58808000
36.11,636.839,56,0.143451601,456.7778716,1.73226,1.47,191.0187186,10000000,5.45,908896.5,58672000
36.44,644.226,56.6,0.143078672,460.8750012,1.72581,1.47,188.738494,10000000,5.45,908896.5,58960000
36.52,603.194,55.4,0.143888385,433.9630536,1.73548,1.47,192.1634377,10000000,5.45,908896.5,65632000
36.39,554.903,53.7,0.144990034,402.2770241,1.71935,1.46,186.4717541,10000000,5.45,908896.5,63116000
35.97,474.871,50.8,0.146960058,348.9353485,1.63226,1.39,157.543459,10000000,5.45,908896.5,69532000
35.18,325.774,45.4,0.15063002,245.3567212,1.45161,1.23,106.6951604,10000000,5.45,908896.5,67568000
33.86,170.516,39.2,0.154786176,131.9675976,1.26774,1.08,66.43715159,10000000,5.45,908896.5,66388000
32.07,47.4839,33.6,0.158587652,37.65180094,1.1129,0.95,40.45755199,10000000,5.45,908896.5,59944000
30.74,0,30.7,0.160485219,0,0.896774,0.76,14.55281689,10000000,5.45,908896.5,58692000
30.04,0,30,0.160956904,0,0.764516,0.65,3.738993662,10000000,5.45,908896.5,60456000
29.41,0,29.4,0.16137859,0,0.809677,0.69,7.048387788,10000000,5.45,908896.5,62848000
28.86,0,28.9,0.161750277,0,0.890323,0.76,13.9437359,10000000,5.45,908896.5,59712000
28.38,0,28.4,0.162072033,0,0.964516,0.82,21.49390691,10000000,5.45,908896.5,58660000
25.7645,0,25.8,0.163834853,0,1.00645,0.86,26.3104998,10000000,5.45,908896.5,59648000
25.4129,0,25.4,0.164071774,0,1.03871,0.88,30.29987442,10000000,5.45,908896.5,64796000
25.1548,0,25.2,0.16424569,0,0.88,0.75,12.98727828,10000000,5.32,887216.4,68440000
24.9742,0,25,0.164367385,0,0.91,0.78,16.15681767,10000000,5.32,887216.4,72180000
24.9065,0,24.9,0.164413004,0,0.96,0.81,20.63745284,10000000,5.32,887216.4,64440000
25.5613,0.387097,25.6,0.163963625,0.317349137,1.01,0.86,26.33685776,10000000,5.32,887216.4,66068000
27.1774,73.0968,29.5,0.161343567,58.96849232,1.02,0.87,27.95550552,10000000,5.32,887216.4,67624000
29.0452,195.323,35.1,0.157511219,153.8278192,1.06,0.9,33.0722067,10000000,5.32,887216.4,65380000
30.5935,362.258,41.9,0.152952713,277.041719,1.38,1.17,89.71729899,10000000,5.32,887216.4,63740000
31.6548,470.839,46.4,0.149951144,353.0142338,1.56,1.33,136.7307987,10000000,5.32,887216.4,71440000
32.4323,611.29,51.5,0.146469712,447.6773527,1.48,1.26,113.9085804,10000000,5.32,887216.4,65756000
32.9935,690.645,54.6,0.144420551,498.7166564,1.63,1.38,155.7883175,10000000,5.32,887216.4,62020000
33.3484,716.323,55.7,0.143640696,514.4656723,1.73,1.47,190.2178197,10000000,5.32,887216.4,58412000
33.4968,666.129,54.3,0.144597651,481.6034448,1.81,1.54,218.573001,10000000,5.32,887216.4,65508000
33.4194,580.161,51.5,0.146460064,424.8520859,1.87,1.59,243.8841348,10000000,5.32,887216.4,68620000
